rank,company,posting_records,share_of_records,cumulative_share
142,Vertex Pharmaceuticals,12,0.0012306430109732336,0.4627217721259358
143,Genmab,12,0.0012306430109732336,0.46395241513690905
144,Hearst,12,0.0012306430109732336,0.46518305814788224
145,Snowflake,12,0.0012306430109732336,0.4664137011588555
146,Marmon Holdings,12,0.0012306430109732336,0.46764434416982875
147,Warner Bros.,12,0.0012306430109732336,0.46887498718080195
148,National Renewable Energy Laboratory,12,0.0012306430109732336,0.4701056301917752
149,Assurant,12,0.0012306430109732336,0.47133627320274846
150,BP,12,0.0012306430109732336,0.47256691621372166
151,SRI International,12,0.0012306430109732336,0.4737975592246949
152,Bio-Techne,12,0.0012306430109732336,0.47502820223566816
153,Zoom,12,0.0012306430109732336,0.47625884524664136
154,Aptiv,12,0.0012306430109732336,0.4774894882576146
155,Tenstorrent,12,0.0012306430109732336,0.4787201312685878
156,First American,12,0.0012306430109732336,0.47995077427956107
157,Tatari,12,0.0012306430109732336,0.4811814172905343
158,Skydio,12,0.0012306430109732336,0.4824120603015075
159,Becton Dickinson,12,0.0012306430109732336,0.48364270331248077
160,RR Donnelley,11,0.001128089426725464,0.48477079273920626
161,Etched.ai,11,0.001128089426725464,0.4858988821659317
162,Velera,11,0.001128089426725464,0.4870269715926572
163,Jones Lang LaSalle (JLL),11,0.001128089426725464,0.4881550610193826
164,ICF International,11,0.001128089426725464,0.4892831504461081
165,Allstate Insurance Company,11,0.001128089426725464,0.4904112398728336
166,Spotify,11,0.001128089426725464,0.491539329299559
167,Interdigital,11,0.001128089426725464,0.4926674187262845
168,L3Harris Technologies,11,0.001128089426725464,0.49379550815300993
169,Analog Devices,11,0.001128089426725464,0.4949235975797354
170,Bio-Rad Laboratories,11,0.001128089426725464,0.49605168700646085
171,Ingram Micro,11,0.001128089426725464,0.49717977643318634
172,Baxter International,11,0.001128089426725464,0.4983078658599118
173,Revvity,11,0.001128089426725464,0.49943595528663726
174,Onto Innovation,11,0.001128089426725464,0.5005640447133627
175,Actian,11,0.001128089426725464,0.5016921341400882
176,WSP,10,0.0010255358424776945,0.5027176699825658
177,Intuit,10,0.0010255358424776945,0.5037432058250436
178,CME Group,10,0.0010255358424776945,0.5047687416675213
179,Public Service Enterprise Group,10,0.0010255358424776945,0.505794277509999
180,GlobalFoundries,10,0.0010255358424776945,0.5068198133524767
181,Fresenius Medical Care,10,0.0010255358424776945,0.5078453491949544
182,Intapp,10,0.0010255358424776945,0.508870885037432
183,Rocket Mortgage,10,0.0010255358424776945,0.5098964208799097
184,Zipline,10,0.0010255358424776945,0.5109219567223875
185,Astranis,10,0.0010255358424776945,0.5119474925648652
186,Intact,10,0.0010255358424776945,0.5129730284073428
187,Bloom Energy,10,0.0010255358424776945,0.5139985642498205
188,Comcast,10,0.0010255358424776945,0.5150241000922983
189,SoFi,10,0.0010255358424776945,0.5160496359347759
190,Stantec,10,0.0010255358424776945,0.5170751717772536
191,Thales,10,0.0010255358424776945,0.5181007076197313
192,d-Matrix,10,0.0010255358424776945,0.519126243462209
193,Calix,10,0.0010255358424776945,0.5201517793046867
194,SAS,10,0.0010255358424776945,0.5211773151471644
195,1Password,10,0.0010255358424776945,0.5222028509896421
196,Guidewire,10,0.0010255358424776945,0.5232283868321198
197,Werfen,10,0.0010255358424776945,0.5242539226745975
198,Sony,10,0.0010255358424776945,0.5252794585170751
199,Gen,10,0.0010255358424776945,0.5263049943595529
200,Delta Dental,10,0.0010255358424776945,0.5273305302020306
201,Viavi Solutions,10,0.0010255358424776945,0.5283560660445082
202,Harris Computer,10,0.0010255358424776945,0.5293816018869859
203,Mentis AI,10,0.0010255358424776945,0.5304071377294637
204,BeOne,10,0.0010255358424776945,0.5314326735719413
205,CWAN,10,0.0010255358424776945,0.532458209414419
206,Nutanix,10,0.0010255358424776945,0.5334837452568967
207,Ensono,10,0.0010255358424776945,0.5345092810993745
208,Planet,10,0.0010255358424776945,0.5355348169418521
209,Canon,10,0.0010255358424776945,0.5365603527843298
210,Synchrony Financial,10,0.0010255358424776945,0.5375858886268076
211,Formlabs,9,0.0009229822582299251,0.5385088708850374
212,Hologic,9,0.0009229822582299251,0.5394318531432674
213,Dexcom,9,0.0009229822582299251,0.5403548354014973
214,Chubb,9,0.0009229822582299251,0.5412778176597272
